block,plot,bg,location,plants,seeds,im tillers,diseased,notes
5,10,S_Phigh,sub1,,4,,,
5,10,S_Phigh,sub1,,6,,,
5,10,S_Phigh,sub1,,4,,,
5,10,S_Phigh,sub1,,5,,,
5,10,S_Phigh,sub1,,5,,,
5,10,S_Phigh,sub1,,3,,,
5,10,S_Phigh,sub1,,4,,,
5,10,S_Phigh,sub1,,6,,,
5,10,S_Phigh,sub2,4,4,,,
5,10,S_Phigh,sub2,,4,,,
5,10,S_Phigh,sub2,,6,,,
5,10,S_Phigh,sub2,,5,,,
6,1,A_low,sub1,9,7,,,
6,1,A_low,sub1,,4,,,
6,1,A_low,sub1,,4,,,
6,1,A_low,sub1,,5,,,
6,1,A_low,sub1,,2,1,,
6,1,A_low,sub1,,2,,,
6,1,A_low,sub1,,0,1,,
6,1,A_low,sub1,,10,2,,
6,1,A_low,sub1,,3,,,
6,1,A_low,sub1,,0,1,,
6,1,A_low,sub2,2,4,,,
6,1,A_low,sub2,,2,,,
6,2,A_high,sub1,3,5,1,,
6,2,A_high,sub1,,2,,,
6,2,A_high,sub1,,4,,,
6,2,A_high,sub2,2,0,2,,
6,2,A_high,sub2,,1,,,
6,4,control,sub1,0,,,,
6,4,control,sub2,0,,,,
6,4,control,full,2,14,,,
6,4,control,,,6,,,
6,6,S_Plow,sub1,2,11,,,
6,6,S_Plow,sub1,,9,,,
6,6,S_Plow,sub2,2,7,,,
6,6,S_Plow,sub2,,6,,,
6,6,S_Plow,full,17,6,,,
6,7,control,sub1,4,5,,,
6,7,control,sub1,,8,,,
6,7,control,sub1,,8,,,
6,7,control,sub1,,3,,,
6,7,control,sub2,1,0,1,,
6,8,S_Phigh,sub1,0,,,,
6,8,S_Phigh,sub2,1,3,,,
6,8,S_Phigh,full,7,4,,,
6,8,S_Phigh,full,,5,,,
6,8,S_Phigh,full,,2,,,
6,8,S_Phigh,full,,6,,,
6,9,S_Phigh,sub1,3,3,,,
6,9,S_Phigh,sub1,,3,,,
6,9,S_Phigh,sub1,,5,,,
6,9,S_Phigh,sub2,3,11,,,
6,9,S_Phigh,sub2,,3,,,
6,9,S_Phigh,sub2,,6,,,
6,10,S_Phigh,sub1,5,2,,,
6,10,S_Phigh,sub1,,2,,,
6,10,S_Phigh,sub1,,3,,,
6,10,S_Phigh,sub1,,3,,,
6,10,S_Phigh,sub1,,2,,,
6,10,S_Phigh,sub2,0,,,,
7,1,S_Phigh,sub1,4,2,,,
7,1,S_Phigh,sub1,,3,,,
7,1,S_Phigh,sub1,,2,,,
7,1,S_Phigh,sub1,,5,,,
7,1,S_Phigh,sub2,3,3,,,
7,1,S_Phigh,sub2,,2,,,
7,1,S_Phigh,sub2,,5,,,
7,3,A_high,sub1,70,4,,,
7,3,A_high,sub1,,5,,,
7,3,A_high,sub1,,4,,,
7,3,A_high,sub1,,3,,,
7,3,A_high,sub1,,4,,,
7,3,A_high,sub1,,,,1,
7,3,A_high,sub1,,2,,,
7,3,A_high,sub1,,4,,,
7,3,A_high,sub1,,7,,,
7,3,A_high,sub1,,10,,,
7,3,A_high,sub1,,3,,,
7,3,A_high,sub1,,2,,,
7,3,A_high,sub1,,3,,,
7,3,A_high,sub1,,2,,,
7,3,A_high,sub1,,3,,,
7,3,A_high,sub2,17,6,,,
7,3,A_high,sub2,,4,,,
7,3,A_high,sub2,,5,,,
7,3,A_high,sub2,,4,,,
7,3,A_high,sub2,,7,,,
7,3,A_high,sub2,,12,,,
7,3,A_high,sub2,,5,,,
7,3,A_high,sub2,,10,,,
7,3,A_high,sub2,,14,,,
7,3,A_high,sub2,,7,,,
7,3,A_high,sub2,,4,,,
7,3,A_high,sub2,,15,,,
7,3,A_high,sub2,,11,,,
7,3,A_high,sub2,,23,,,
7,3,A_high,sub2,,6,,,
7,4,S_Plow,sub1,4,5,,,
7,4,S_Plow,sub1,,3,,,
7,4,S_Plow,sub1,,1,,,
7,4,S_Plow,sub1,,3,,,
7,4,S_Plow,sub2,3,3,,,
7,4,S_Plow,sub2,,,,1,
7,4,S_Plow,sub2,,2,,,
7,6,control,sub1,9,24,,,
7,6,control,sub1,,19,,,
7,6,control,sub1,,3,,,
7,6,control,sub1,,2,,,
7,6,control,sub1,,2,,,
7,6,control,sub1,,6,,,
7,6,control,sub1,,5,,,
7,6,control,sub1,,1,,,
7,6,control,sub1,,,,1,
7,6,control,sub2,3,0,1,,
7,6,control,sub2,,18,,,
7,6,control,sub2,,12,,,
7,7,A_low,sub1,17,4,,,
7,7,A_low,sub1,,6,,,
7,7,A_low,sub1,,4,,,
7,7,A_low,sub1,,1,,,
7,7,A_low,sub1,,1,,,
7,7,A_low,sub1,,2,,,
7,7,A_low,sub1,,2,,,
7,7,A_low,sub1,,4,,,
7,7,A_low,sub1,,,,1,
7,7,A_low,sub1,,,,1,
7,7,A_low,sub1,,,,1,
7,7,A_low,sub1,,8,,,
