block,plot,bg,Stipa  type,Stipa diam (cm),Stipa tillers,seeds/tiller,num ss with tillers,num tillers on ss,% weed gram ,% weed forb,notes
6,7,control,phyto,12,29,22,,,30,20,
6,8,S_P high,phyto,10,12,21,,,5,10,
6,8,S_P high,big,11,27,,,,,,
6,8,S_P high,big,13,16,,,,,,
6,8,S_P high,med,7,2,,,,,,
6,8,S_P high,med,8,11,,,,,,
6,8,S_P high,med,8,14,,,,,,
6,8,S_P high,med,4,2,,,,,,
6,8,S_P high,med,7,12,,,,,,
6,8,S_P high,med,7,6,,,,,,
6,8,S_P high,med,9,5,,,,,,
6,8,S_P high,med,10,20,,,,,,
6,8,S_P high,med,9,11,,,,,,
6,8,S_P high,med,6,9,,,,,,
6,9,S_P high,big,15,44,29,,,5,10,* no phytometer
6,9,S_P high,big,20,86,,,,,,
6,9,S_P high,med,6,4,,,,,,
6,9,S_P high,med,7,5,,,,,,
6,9,S_P high,med,5,6,,,,,,
6,9,S_P high,med,9,13,,,,,,
6,9,S_P high,med,6,9,,,,,,
6,9,S_P high,med,8,5,,,,,,
6,9,S_P high,med,11,17,,,,,,
6,9,S_P high,med,5,11,,,,,,
6,9,S_P high,med,9,14,,,,,,
6,9,S_P high,med,,,,,,,,Dead
6,10,S_P high,big,15,45,19,,,10,5,* no phytometer
6,10,S_P high,big,16,34,,,,,,
6,10,S_P high,med,10,18,,,,,,
6,10,S_P high,med,8,4,,,,,,
6,10,S_P high,med,5,7,,,,,,
6,10,S_P high,med,7,8,,,,,,
6,10,S_P high,med,10,15,,,,,,
6,10,S_P high,med,9,11,,,,,,
6,10,S_P high,med,8,13,,,,,,
6,10,S_P high,med,8,11,,,,,,
6,10,S_P high,med,10,24,,,,,,
6,10,S_P high,med,,,,,,,,Dead
6,11,control,,,,,,,,,* no phytometer
6,12,S_s low,,,,,,,,,* no phytometer
7,1,S_P high,phyto,6,16,19,,,0,10,
7,1,S_P high,big,13,59,,,,,,
7,1,S_P high,big,8,39,,,,,,
7,1,S_P high,med,9,15,,,,,,
7,1,S_P high,med,9,26,,,,,,
7,1,S_P high,med,10,19,,,,,,
7,1,S_P high,med,12,59,,,,,,
7,1,S_P high,med,9,16,,,,,,
7,1,S_P high,med,9,33,,,,,,
7,1,S_P high,med,7,6,,,,,,
7,1,S_P high,med,5,6,,,,,,
7,1,S_P high,med,12,41,,,,,,
7,1,S_P high,med,,,,,,,,Dead
7,2,S_s high,phyto,10,31,35,9,57,50,10,
7,3,A high,phyto,15,42,30,,,15,10,
7,4,S_P low,phyto,14,38,30,,,10,5,
7,4,S_P low,big,27,72,,,,,,
7,4,S_P low,med,16,57,,,,,,
7,4,S_P low,med,12,23,,,,,,
7,4,S_P low,med,10,7,,,,,,
7,4,S_P low,med,22,55,,,,,,
7,4,S_P low,med,,,,,,,,Dead
7,5,S_s low,phyto,17,32,38,7,41,40,5,
7,6,control,phyto,21,61,16,,,5,20,
7,7,A low,phyto,10,24,23,,,5,10,
7,8,control,phyto,11,20,15,2,6,10,20,
7,9,S_P high,big,21,92,32,,,10,2,* no phytometer
7,9,S_P high,big,20,56,,,,,,
7,9,S_P high,med,14,39,,,,,,
7,9,S_P high,med,12,32,,,,,,
7,9,S_P high,med,2,4,,,,,,
7,9,S_P high,med,8,30,,,,,,
7,9,S_P high,med,10,35,,,,,,
7,9,S_P high,med,9,34,,,,,,
7,9,S_P high,med,6,17,,,,,,
7,9,S_P high,med,8,29,,,,,,
7,9,S_P high,med,10,39,,,,,,
7,9,S_P high,med,11,35,,,,,,
7,10,S_P high,big,16,71,44,,,0,5,* no phytometer
7,10,S_P high,big,19,92,,,,,,
7,10,S_P high,med,8,30,,,,,,
7,10,S_P high,med,8,25,,,,,,
7,10,S_P high,med,9,27,,,,,,
7,10,S_P high,med,8,20,,,,,,
7,10,S_P high,med,8,30,,,,,,
7,10,S_P high,med,8,15,,,,,,
7,10,S_P high,med,8,24,,,,,,
7,10,S_P high,med,8,31,,,,,,
7,10,S_P high,med,10,18,,,,,,
7,10,S_P high,med,8,12,,,,,,
7,11,control,,,,,,,,,* no phytometer
7,12,S_s low,,,,,,,,,* no phytometer
8,1,control,phyto,,,,,,70,5,Dead
8,2,S_P high,phyto,8,15,21,,,5,2,
8,2,S_P high,big,13,61,,,,,,
8,2,S_P high,big,13,68,,,,,,
8,2,S_P high,med,5,21,,,,,,
8,2,S_P high,med,7,13,,,,,,
8,2,S_P high,med,4,7,,,,,,
8,2,S_P high,med,8,10,,,,,,
8,2,S_P high,med,8,14,,,,,,
8,2,S_P high,med,10,20,,,,,,
8,2,S_P high,med,8,18,,,,,,
